appearance,delivery,fabric_quality,others,packaging,price,service,size_fit,processed_text
0,0,0,0,0,0,0,1,áo nhỏ hơn so với mô_tả
3,0,0,0,0,0,0,0,áo đẹp như mẫu luôn nha mọi người
0,3,0,2,0,0,0,0,rất hài_lòng sản_phẩm tốt shop giao đúng mẫu nhanh
0,0,0,0,0,0,0,3,nâng ngực ôm gọn bầu ngực mặc ok lắm
3,0,3,0,0,0,0,0,quần đẹp vải mát cho kiểm hàng kĩ rất hài_lòng với tiki mua hàng gì cũng được kiểm_tra
3,3,3,0,0,0,0,0,shop giao hàng nhanh đúng mẫu_mã váy dáng khá ok vải không bị lộ chất vải đũi thô mặc mát váy lên dáng đẹp mình 1m6 50 kg mặc lên ok nhé nên mua
0,3,3,0,0,0,0,3,chất_liệu vải dày vừa_vặn máy khéo giao hàng sớm
0,0,3,0,0,0,0,0,chất_liệu mặc mát đúng như hình
0,0,3,0,0,0,0,0,vải mềm co_giản mát nếu thích thoải_mái thì chọn theo size của shop
1,0,1,0,0,0,0,0,hàng xấu quá đường may bị lỗi rất nhiều
0,3,0,0,0,3,0,0,hàng chuẩn rẻ giao hàng nhanh đáng cho 5 sao
3,0,0,0,0,0,0,0,nói_chung tốt may khá đẹp mặc đi chụp hình với áo_dài đẹp
3,3,0,0,3,0,0,3,xinh như hình ạ size chuẩn chất_lượng tốt tiki đóng_gói đẹp và giao hàng nhanh thanks nhiều
3,0,0,0,0,0,0,0,đường chỉ may kín không bị nhoè hình in vải chất_lượng
0,0,2,0,0,0,0,1,size quần không đúng so với cân nặng độ co_giãn cũng không được thoải_mái như mô_tả mình 55kg 160cm mà mặc xl vẫn cảm_giác bị bó chất_liệu form thì ok
1,0,0,0,0,0,0,0,áo đúng mẫu nhưng hơi bị bẩn
0,0,0,2,0,0,0,0,ok
3,0,3,0,0,0,0,0,hàng đẹp như hình nhưng không có bông giống hình nên cũng buồn chút mà ok thoải_mái
0,0,1,0,0,0,0,0,vải nóng xừ long hàng không ok
0,0,0,2,0,0,0,0,cảm_thấy bị dối vì hàng giao không đủ
0,0,1,0,0,0,0,0,vải mỏng quá chất_liệu không như mong_đợi
3,0,0,0,0,0,0,0,so với giá thì chất vải đẹp ngỡ_ngàng hình_họa tiết dạng chỉ thêu rất đẹp chứ không phải in quá ổn 5 sao và theo_dõi shop luôn sau khi khui hộp
1,0,0,0,0,0,0,0,áo xấu ngắn không hài_lòng
3,0,3,0,0,0,0,0,thoải_mái đẹp
0,0,0,2,0,0,0,0,dùng tạm ổn nhưng hơi bí khi vận_động mồ_hôi ra
0,0,3,0,0,0,0,2,chất đẹp có điều ông hơi rộng so với chân mình ý_kiến cá_nhân mình thôi nha lưng thun co_giãn nên mình mặc size nào cũng được
0,3,0,0,0,0,0,0,giao hàng nhanh như 1 cơn gió trưa đặt chiều giao rồi hàng chất_lượng nha nên mua ạ
0,0,3,0,0,3,0,0,quần co_giãn thoáng mát mua được giá rẻ
3,0,3,0,0,0,0,0,hàng đẹp mát
3,0,3,0,0,0,0,0,rất đẹp vải mặc rất mát
0,0,0,2,0,0,0,0,mình đặt_hàng từ 212 đến giờ vẫn chưa nhận được
0,0,0,2,0,0,0,0,sản_phẩm đúng mô_tả
2,0,0,0,0,0,0,0,chất lương tốt y hình shop tâm_lý giá hợp_lý nhé mọi người ơi
3,0,3,0,0,0,0,3,sản_phẩm đẹp vải tốt đã mua 2 lần rồi mặc vừa in luôn ạ đẹp lắm ạ
0,0,3,0,0,0,0,0,áo mềm dùng thích lắm luôn á
0,0,3,0,0,0,0,0,vải đẹp mát
0,0,3,0,0,0,0,0,quần thoáng mát vải xịn
3,0,3,0,0,0,0,0,kiểu_dáng đẹp thoáng mát
0,0,1,0,0,0,0,0,áo hơi mỏng
3,0,3,0,0,0,0,0,vải tốt co_giãn mềm đường may chỉnh chu nhưng chỉ thừa chưa cắt với mức giá khi giảm_giá thì xứng_đáng được 5 sao
0,0,3,0,0,0,0,0,áo rất mềm êm đúc không gọng mặc thích lắm
0,0,0,2,0,0,0,0,tôi rất hài_lòng
0,0,1,0,0,0,0,0,vải thô không mềm_mại như tưởng_tượng
0,0,0,2,0,0,0,0,cho em hỏi em đặt màu trắng sao shop lại chuyển cho em màu nâu tây ạ
0,0,0,2,0,0,0,0,quá ok
0,0,3,0,0,0,0,0,chất rất ok
0,0,3,0,0,2,0,0,đồ thun mát hợp với giá_cả
0,3,0,0,0,3,0,0,sản_phẩm tốt lắm giá cạnh_tranh shop ship nhanh ủng_hộ shop nè
0,0,0,2,0,0,0,0,sản_phẩm cũng ok
3,0,0,0,0,0,0,0,vải đẹp may cẩn_thận nên mua
0,0,3,0,0,3,0,3,ôi chất vải thích quá quần mặc ôm vừa người phải mua thêm á mọi người ơi giá_cả không đắt mua không phải lăn_tăn gì cả
3,0,3,0,0,3,0,0,đầm đẹp ạ mặc thoải_mái giá rất ok đáng tiền lắm ạ cảm_ơn shop
0,0,3,0,0,0,0,0,quần thấm hút mồ_hôi tốt lắm
3,0,0,0,0,0,0,0,thun đẹp may đẹp rất hài_lòng
0,0,0,2,0,0,0,0,cũng tốt
0,0,0,2,0,0,0,0,quần ok
3,0,3,0,0,0,0,0,chất_lượng ok from vừa_vặn đường may tỉ_mỉ các bạn nào có số kg hơi quá_cỡ tí lựa được nè nói_chung khá hài_lòng nên mua shop này
3,0,0,0,0,3,0,1,quần đẹp giá quá rẻ tuy_nhiên size l mặc không được thoải_mái lắm nếu có thêm size lớn nữa thì sẽ ủng_hộ tiếp
0,0,0,2,0,0,0,0,cho 5 sao
3,0,0,0,0,0,0,3,mặc đẹp size không được đều nhưng mình mặc vừa không vấn_đề thoải_mái
0,0,0,2,0,0,0,0,chất_lượng cũng tạm tạm bị sứt chỉ khi giặt máy
0,0,0,2,0,0,0,0,sản_phẩm rất tốt
0,0,3,0,0,0,0,0,chất khá tốt
3,0,0,0,0,0,0,0,áo đẹp lắm nha nhưng vải dễ bị xù lông với lại nón nhỏ quá
3,0,3,0,0,0,0,0,cảm_ơn shop áo rất đẹp vải dày nhưng mặc vào rất mát đường chỉ may đẹp áo có 6 túi mỗi bên trong áo có 2 túi đều có dây kéo rất tiện cảm_ơn thấy rất hài_lòng sẽ tiếp_tục ủng_hộ shop
