ProductID,Clothes Type,Price,Selled Quantity,Overall Rating,sentiment_appearance,sentiment_delivery,sentiment_fabric_quality,sentiment_others,sentiment_packaging,sentiment_price,sentiment_service,sentiment_size_fit,text
1,Women's Shirt,161000,9,5.0,,,positive,,,,,,Đẹp vải măc mát.
2,Women's Shirt,112000,0,5.0,,,,,positive,,,,"Rất thích các áo in của Goking. Ý nghĩa. Chất lượng sản phẩm thì khỏi chê, đóng gói rất đẹp."
2,Women's Shirt,112000,0,5.0,,,positive,,,,,,"Áo phông mặc mát, hình in mềm mại. Đúng là hàng hiệu có khác. Xứng đồng tiền bỏ ra."
3,Women's Shirt,62000,14,5.0,positive,,positive,,,,,,"Dù đôi chỗ còn may chưa đẹp lắm nhưng được cái vải rất đẹp, hình in đẹp rất hợp với áo nên cũng hài lòng, mua cái này là cái thứ 3 rồi shop"
3,Women's Shirt,62000,14,5.0,positive,,positive,,,,,,"Hình in rất sắc nét, mềm mại, không dính. Rất hài lòng."
3,Women's Shirt,62000,14,5.0,,,,,positive,,,,"Đóng gói đẹp, có thể làm quà tặng cho mẹ"
3,Women's Shirt,62000,14,5.0,,,,neutral,,,,,"Áo chất lượng tốt, sẽ mua thêm 1c nữa."
4,Women's Shirt,112000,11,5.0,positive,,positive,,,,,,"Áo cổ tròn của Goking đúng chất 100% cotton, mặc mát và thoải mái. Hình in cute dễ thương."
5,Women's Shirt,112000,8,5.0,,,positive,,,,,,"Áo mặc rất mát, hình in lại mềm mại. Đúng là hàng hiệu có khác. Xứng đồng tiền bỏ ra."
5,Women's Shirt,112000,8,5.0,,,,neutral,,,,,"hài lòng lắm nha, sẽ tiếp tục ủng hộ, cảm ơn shop."
6,Women's Pants,18000,120,5.0,positive,,positive,,,,,,"kiểu dáng đẹp, nhận hàng trong ngày , chất dày dặn nhưng có lỗ thông hơi chắc mát nè"
6,Women's Pants,18000,120,5.0,positive,,positive,,,,,,"Shop mới mà mua gì cũng chất lượng. Đẹp từng cm lun, chất co giãn thoải mái ôm nâng mông lắm"
6,Women's Pants,18000,120,5.0,,,positive,,,,,,"Chất tưởng dày mà k dày, mát co dãn ok la sẽ mua thêm"
7,Women's Pants,104000,1k,4.5,positive,positive,positive,,,,,,Màu dễ thương. Chất vải mỏng mát. Mình chụp cận vải và bên trong quần cho mn xem kỹ. Mua shop nhiều lần rồi. Ưng lắm. Giao rất nhanh.
7,Women's Pants,104000,1k,4.5,,,neutral,,,,,,"Chất liệu vải mỏng, hy vọng mặc mát và thấm hút. Chưa sử dụng chưa biết chất lượng bền ko"
7,Women's Pants,104000,1k,4.5,,,positive,,,,,,"Sp vải mát dễ mặt, nhanh khô."
7,Women's Pants,104000,1k,4.5,positive,,positive,,,,,," Má ơi cái shop làn ăn ko chê vào đâu được, đồ thì vừa đẹp vừa xịn, mua mấy lần rồi vẫn luôn tuyệt với như vậy. chất vải rất oke, thoải mái, không bị bí bách mà còn rất thoáng mát. Nhân viên tư vẫn size... Xem thêm"
7,Women's Pants,104000,1k,4.5,,,neutral,,,,,,"Vải mỏng không mềm lắm thấy tạm được, đã bị cắt tag"
7,Women's Pants,104000,1k,4.5,,,,neutral,,,,,Ok rat ung cai bụng se con mua shop nhieu lan hình ảnh đe choi
7,Women's Pants,104000,1k,4.5,,positive,positive,,,,neutral,,"Mặc thoải mái, so với giá tiền thì chất lượng ok, giao hàng rất nhanh, chỉ có tư vấn hơi chậm"
7,Women's Pants,104000,1k,4.5,,,positive,,,,,,"Rất hài lòng về quần nha, mặc mát, mịn, vải k xơ, cho shop 5 sao, mình mặc 1 thời gian rùi mới đánh giá, sẽ tiếp tục ủng hộ shop lần sau"
7,Women's Pants,104000,1k,4.5,,positive,,,,,,,"Giáo hàng nhanh, sản phẩm tốt"
7,Women's Pants,104000,1k,4.5,,positive,positive,,,,positive,positive,"Ko hề bị cấn nha ce, rất thoải mái, ko bị cấn chích gì đâu, tui thấy oke, ce nên dùng. Shop cũng rất nhiệt tình tư vấn và giao nhanh nên tui cho 5 sao luôn nhá. Chắc chắn mua tiếp nè"
7,Women's Pants,104000,1k,4.5,,,positive,,,,,,"vải mịn, mát. đường chỉ may cẩn thận, kiểu dáng giống hình"
7,Women's Pants,104000,1k,4.5,,,positive,,,,,,"Vải mịn, mềm, co giản tốt, mặc thoải mái. Chưa bao giờ mình thấy hài lòng về đồ con như vậy luôn. Mn nên thử nha, sẽ mua chỗ này hoài thôi. Mình rất ưng ý, xuất sắc ý."
7,Women's Pants,104000,1k,4.5,,positive,,,,,,,"sản phẩm như miêu tả, giao hàng nhanh"
7,Women's Pants,104000,1k,4.5,positive,positive,positive,,,,,,"sản phẩm đẹp, cotton mỏng, mát. giao hàng nhanh ghê luôn. thanks!"
7,Women's Pants,104000,1k,4.5,,,positive,,,,,,"Hàng có giãn, mịn."
7,Women's Pants,104000,1k,4.5,positive,positive,,,,,,positive,"Quần đẹp, size chuẩn! Giao hàng nhanh nữa là điểm cộng cho shop & Tiki nè! Tks."
7,Women's Pants,104000,1k,4.5,,,neutral,,,,,positive,"vải k dày lắm, mình mông 94 mặc size L khá ổn, ôm sát nên có vết hằn nhỏ sau mỗi lần mặc. Nói chung tầm giá này thì chất lượng như vậy cũng khá ổn"
7,Women's Pants,104000,1k,4.5,,positive,,,,,positive,,"Giao hàng nhanh chóng, shop nhiệt tình. Shop cũng rất tâm lý khi khéo léo che tên sản phẩm trên bill gửi hàng, mình cũng đỡ ngại khi ship giao đến hihi. Cảm ơn shop."
7,Women's Pants,104000,1k,4.5,,,,neutral,,,,,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
7,Women's Pants,104000,1k,4.5,positive,positive,,,positive,,,,"Ưng cái bụng lắm ý. Mặc rất tôn dáng luôn, ko tin thử đi là biết hà. Đóng gói đẹp, chắc chắn, giao hàng nhanh nữa. cho shop 5 sao. Mn nên mua ạ"
7,Women's Pants,104000,1k,4.5,,,,,,,positive,,"Shop rất dễ thương, tư vấn nhiệt tình, shop đã che tên và đóng gói rất kín nên là không sợ bị lộ đâu nha. Sẽ quay lại ủng hộ shop lần sau"
7,Women's Pants,104000,1k,4.5,,,positive,,,,,,Chất liệu vải OK lắm
7,Women's Pants,104000,1k,4.5,,,,neutral,,,,,Chất lượng sản phẩm tốt và đáng tiền. Vừa thông báo giao hôm trước thì ngay hôm sau đã có. Đồ giống như trong miêu tả sản phẩm.
7,Women's Pants,104000,1k,4.5,positive,,positive,,,,,,"đẹp, màu sáng da, mặc lên rất tôn dáng, 100 điểm chất lượng ? quần cực xinh, chất dày dặn lắm, màu be ở ngoài chuẩn như ảnh."
7,Women's Pants,104000,1k,4.5,,positive,,,,,,positive,"Shop giao đúng, đủ hàng, quần mặc khá vừa."
7,Women's Pants,104000,1k,4.5,,,,neutral,,,,,Tạm được
7,Women's Pants,104000,1k,4.5,,positive,positive,,,,,,chất lượng tốtgiao hàng nhanhmặc rất mát mẻ dễ chịu
7,Women's Pants,104000,1k,4.5,,,,neutral,,,,,dung mo ta
7,Women's Pants,104000,1k,4.5,,,,neutral,,,,,Hàng như mô tả
7,Women's Pants,104000,1k,4.5,,,positive,,,,,,"Chất ok,mặc thoải mái.Bền hay ko thì cũng do mình nữa hehe"
7,Women's Pants,104000,1k,4.5,,,,neutral,,,,,Ok
7,Women's Pants,104000,1k,4.5,,positive,,,,,positive,,Giao hàng siêu nhanh chu đáo và chất lượng của sản phẩm tuyệt vời mọi người nên mua ủng hộ shop nhé ????
7,Women's Pants,104000,1k,4.5,,,positive,,,,,,"Chất vải mềm, đẹp, mặc thoải mái."
7,Women's Pants,104000,1k,4.5,positive,,positive,,,,,,"Quần đẹp, chất mát. Shop giao toàn màu dễ mặc í."
7,Women's Pants,104000,1k,4.5,,positive,,,positive,,positive,,"Sản phẩm đóng gói cẩn thận ,giao hàng nhanh ,nhiệt tình,sẽ quay lại ủng hộ shop nếu có nhu cầu ."
7,Women's Pants,104000,1k,4.5,positive,,,,,,,,hang đep
7,Women's Pants,104000,1k,4.5,,,positive,,positive,,,,Sản phẩm đóng gói cẩn thận quần mặc rất thoải mái
7,Women's Pants,104000,1k,4.5,,,,neutral,,,,,Sản phẩm chất lượng
7,Women's Pants,104000,1k,4.5,positive,positive,positive,,,,,,Giao hàng siêu nhanh Chất liệu co giãn đẹp khỏi bàn Đầy đủ phụ kiện hihi Ủng hộ shop dài dài
7,Women's Pants,104000,1k,4.5,,,neutral,,,,,neutral,Mặc kh bị bí với kẹt đâu ạ
7,Women's Pants,104000,1k,4.5,,,,neutral,,,,,Ok nha
7,Women's Pants,104000,1k,4.5,positive,positive,,,,,,positive,"Nhận được hàng rất ưng luôn. Shop giao nhanh, quần mình mang vừa y. Nhìn đẹp lắm nha :)))"
7,Women's Pants,104000,1k,4.5,,positive,,,,,,,giao hàng nhanh
7,Women's Pants,104000,1k,4.5,,positive,,,positive,,positive,,"Shop nhiệt tình, đóng gói hàng cẩn thận, giao hàng nhanh, chất lượng sản phẩm được"
